listing_id,date
3656251,2015-08-31
3656251,2015-10-01
3656251,2016-02-29
3656251,2016-03-31
3656251,2016-05-31
3656251,2016-06-08
3656251,2016-06-12
3656251,2016-09-10
3656251,2016-09-16
3656251,2016-09-20
3656251,2016-09-25
3656251,2016-11-09
3656251,2016-11-26
3656251,2016-11-28
3656251,2016-12-23
3656251,2017-01-01
3656251,2017-03-15
3656251,2017-03-21
15328485,2016-10-04
15328485,2016-10-05
15328485,2016-10-10
15328485,2016-10-14
15328485,2016-10-16
15328485,2016-10-20
15328485,2016-10-21
15328485,2016-10-24
15328485,2016-10-30
15328485,2016-11-07
15328485,2016-11-11
15328485,2016-11-12
15328485,2016-11-13
15328485,2016-11-15
15328485,2016-11-16
15328485,2016-11-18
15328485,2016-12-02
15328485,2016-12-05
15328485,2016-12-13
15328485,2016-12-22
15328485,2017-01-01
15328485,2017-01-08
15328485,2017-01-09
15328485,2017-01-13
15328485,2017-01-22
15328485,2017-01-27
15328485,2017-02-06
15328485,2017-02-15
15328485,2017-02-16
15328485,2017-02-20
15328485,2017-03-09
15328485,2017-03-14
15328485,2017-03-17
15328485,2017-03-26
6006021,2015-06-29
6006021,2015-07-06
6006021,2015-07-13
6006021,2015-07-18
6006021,2015-07-29
6006021,2015-08-05
6006021,2015-08-09
6006021,2015-08-19
6006021,2015-09-19
6006021,2015-10-02
6006021,2015-10-12
6006021,2015-10-24
6006021,2015-10-28
6006021,2015-12-28
6006021,2016-02-13
6006021,2016-03-15
6006021,2016-10-15
6006021,2017-03-22
9870045,2016-03-17
9870045,2016-12-14
9870045,2017-02-16
7069881,2015-07-21
7069881,2015-07-27
7069881,2015-08-10
7069881,2015-08-29
7069881,2015-09-02
7069881,2015-09-13
7069881,2015-09-16
7069881,2015-09-21
7069881,2015-09-27
7069881,2015-10-20
7069881,2015-10-30
7069881,2015-11-06
7069881,2015-11-18
7069881,2015-11-22
7069881,2015-12-08
7069881,2015-12-26
7069881,2016-01-02
7069881,2016-01-17
7069881,2016-03-13
7069881,2016-03-18
7069881,2016-04-04
7069881,2016-04-08
7069881,2016-04-17
7069881,2016-04-21
7069881,2016-04-27
7069881,2016-05-04
7069881,2016-05-14
7069881,2016-05-23
7069881,2016-05-28
7069881,2016-06-01
7069881,2016-06-07
7069881,2016-06-14
7069881,2016-06-17
7069881,2016-06-26
7069881,2016-07-08
7069881,2016-07-23
7069881,2016-08-01
7069881,2016-08-06
7069881,2016-08-12
7069881,2016-08-16
7069881,2016-08-23
7069881,2016-08-30
7069881,2016-09-02
7069881,2016-09-06
7069881,2016-09-08
7069881,2016-09-13
7069881,2016-09-20
7069881,2016-09-26
7069881,2016-10-03
7069881,2016-10-07
7069881,2016-10-14
7069881,2016-10-18
7069881,2016-10-23
7069881,2016-10-27
7069881,2016-11-19
7069881,2016-12-19
7069881,2016-12-26
7069881,2017-01-02
7069881,2017-01-06
7069881,2017-01-16
7069881,2017-01-23
7069881,2017-01-29
7069881,2017-02-05
7069881,2017-02-10
7069881,2017-02-24
7069881,2017-03-14
7069881,2017-03-21
7069881,2017-03-26
13973341,2016-10-07
8739,2009-08-01
8739,2009-08-27
8739,2009-09-11
8739,2009-09-14
8739,2009-09-27
8739,2009-10-05
8739,2009-10-24
8739,2009-11-03
8739,2010-01-16
8739,2010-01-18
8739,2010-01-26
8739,2010-02-02
8739,2010-02-17
8739,2010-03-07
8739,2010-03-17
8739,2010-03-19
8739,2010-03-21
8739,2010-03-25
8739,2010-04-18
8739,2010-04-22
8739,2010-04-26
8739,2010-05-01
8739,2010-05-08
8739,2010-05-19
8739,2010-05-24
8739,2010-06-25
8739,2010-06-27
8739,2010-07-05
8739,2010-07-15
8739,2010-07-18
8739,2010-07-21
8739,2010-08-08
8739,2010-08-27
8739,2010-09-01
8739,2010-09-12
8739,2010-09-15
8739,2010-09-19
8739,2010-09-21
8739,2010-10-03
8739,2010-10-06
8739,2010-10-09
8739,2010-10-11
8739,2010-10-13
8739,2010-10-22
8739,2010-10-29
8739,2010-11-09
8739,2010-11-27
8739,2010-12-06
8739,2010-12-11
8739,2010-12-25
8739,2011-01-05
8739,2011-01-22
8739,2011-01-24
8739,2011-01-31
8739,2011-02-11
8739,2011-02-15
8739,2011-02-22
8739,2011-03-01
8739,2011-03-05
8739,2011-03-06
8739,2011-03-07
8739,2011-03-12
8739,2011-03-20
8739,2011-03-27
8739,2011-04-06
8739,2011-04-18
8739,2011-04-24
8739,2011-05-05
8739,2011-05-12
8739,2011-05-19
8739,2011-05-21
8739,2011-05-28
8739,2011-05-31
8739,2011-07-08
8739,2011-07-11
8739,2011-07-15
8739,2011-07-19
8739,2011-07-26
8739,2011-08-15
8739,2011-08-18
8739,2011-08-21
8739,2011-08-25
8739,2011-08-28
8739,2011-08-31
8739,2011-09-10
8739,2011-09-23
8739,2011-09-27
8739,2011-10-03
8739,2011-10-13
8739,2011-10-18
8739,2011-11-09
8739,2011-11-18
8739,2011-12-10
8739,2011-12-12
8739,2011-12-22
8739,2012-01-02
8739,2012-01-06
