id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15579126,Spacious and modern apartment near Vondelpark,8198264,Philip,,De Baarsjes - Oud-West,52.36102082453024,4.863533608009422,Entire home/apt,140,2,2,2016-11-13,0.39,1,0
11185335,Modern apartment near Vondelpark in Amsterdam West,10820960,Eelco,,De Baarsjes - Oud-West,52.35877573840461,4.857842509832522,Entire home/apt,125,2,3,2017-02-25,0.39,1,0
9874608,Amazing family house Amsterdam next to Vondelpark,15074907,C,,De Baarsjes - Oud-West,52.362452538012874,4.873641671295578,Entire home/apt,300,2,1,2016-08-10,0.13,1,300
13661461,HUGE TERRACE APT. IN AMSTERDAM NEXT TO VONDELPARK!,14183886,Luis,,De Baarsjes - Oud-West,52.360731621707615,4.858175131252305,Entire home/apt,140,3,2,2016-09-05,0.27,20,47
9252010,Cosy Canal Studio,3320018,Laurens,,De Baarsjes - Oud-West,52.36233321173345,4.866338909884586,Private room,65,2,1,2015-11-23,0.06,1,0
6070927,Lovely apt. on a great location,3660679,Jaap,,De Baarsjes - Oud-West,52.36896912178688,4.863060387337401,Entire home/apt,110,5,6,2017-02-26,0.68,1,29
13863250,"Quiet apartment in ""Oud-West"", near the Vondelpark",32960785,Marten,,De Baarsjes - Oud-West,52.36036818821816,4.862615459710961,Entire home/apt,120,2,3,2016-10-23,0.41,1,0
6143603,"Renovated house, sunny garden. 10 min from center",31868622,Evita,,De Baarsjes - Oud-West,52.37007813647676,4.848620547500144,Entire home/apt,99,5,5,2017-02-27,0.45,1,123
2005996,"Vondel House, Guest Room 2",7261788,Wilbert,,De Baarsjes - Oud-West,52.36030012804613,4.866272464127316,Private room,74,2,206,2017-03-26,5.86,2,290
5950879,Large modern apartment - rooftop terrace,5769652,Robin,,De Baarsjes - Oud-West,52.36729952244352,4.850915376377296,Entire home/apt,215,2,23,2017-01-01,0.99,1,244
10997159,Central Location - balcony on canal,16430570,Caroline,,De Baarsjes - Oud-West,52.372815914676174,4.874319304655033,Entire home/apt,129,5,1,2016-08-08,0.13,1,0
13323689,LIVIA’S HIDEAWAY 5: VONDEL A,13405827,Capital Apartments,,De Baarsjes - Oud-West,52.36118241359392,4.856983860117328,Entire home/apt,235,1,0,,,24,186
13057640,Amazing 2p apt near the Leidse square and Jordaan!,12147206,Pieter,,De Baarsjes - Oud-West,52.367228566306224,4.875445832614355,Entire home/apt,180,2,13,2017-03-19,1.23,1,12
8659596,2 br. apartment in nieuw-west,2694878,Ricarda,,De Baarsjes - Oud-West,52.367175810630215,4.864843635272198,Entire home/apt,200,1,1,2015-10-18,0.06,1,0
2469007,"Big apartment panoramic rooftop, no cleaning costs",12627558,Tom,,De Baarsjes - Oud-West,52.370180819627635,4.866877400003438,Entire home/apt,169,3,31,2017-03-23,0.86,1,351
8375536,Welcome in my place and enjoy it!,27610214,Gerard,,De Baarsjes - Oud-West,52.369463687037076,4.85896858806359,Entire home/apt,119,2,11,2017-01-03,0.65,1,10
6830664,Beautiful apartment near vondelpark,30593386,Casper,,De Baarsjes - Oud-West,52.35973384346173,4.857653320014015,Entire home/apt,111,1,0,,,1,0
8233604,Double size family home near centre,859417,Joyce,,De Baarsjes - Oud-West,52.3694407847942,4.859282423818694,Entire home/apt,189,2,8,2017-01-01,0.43,1,0
14562797,Luxurious house with king size and sunny garden,7542798,Emeline,,De Baarsjes - Oud-West,52.37313011843113,4.860679432360854,Entire home/apt,118,2,0,,,1,26
7744120,Bright apartment @ trendy Oud West,11730229,Ingrid,,De Baarsjes - Oud-West,52.36292409005039,4.864188335354649,Entire home/apt,112,3,20,2016-09-24,1.01,1,219
11171087,Light & Stylish 2 room apartment,8795077,Jan,,De Baarsjes - Oud-West,52.36734817568504,4.851977517488266,Entire home/apt,99,2,3,2016-03-16,0.22,2,0
