id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17139320,Studio,115220659,Yang,,Financial District,37.792450518626495,-122.39387973934696,Private room,64,1,0,,,1,0
9154591,Next to Powell Station. City Center,47658166,Nish,,Financial District,37.78583004453674,-122.40550324701977,Private room,159,1,16,2016-11-28,1.02,3,0
15149051,Luxury High Rise Condo with Waterfront View,96092167,Michael And Brittany,,Financial District,37.78951436064691,-122.39305614217908,Entire home/apt,400,2,27,2017-03-17,4.26,1,7
9110796,Small room in perfect location,47483008,Björn,,Financial District,37.79750257072387,-122.40025102315757,Private room,60,1,0,,,1,0
12857222,Friendly Hostel with Community #14,329072,Darren & Friends,,Financial District,37.79304396529406,-122.40323838143658,Shared room,45,1,19,2016-12-17,1.72,16,146
1978669,Downtown Loft Private Room + Bath,7722078,K,,Financial District,37.789223834473844,-122.40082743598175,Private room,120,30,8,2016-12-18,0.20,1,226
12857179,Friendly Hostel with Community #13,329072,Darren & Friends,,Financial District,37.79471386060423,-122.40328644868735,Shared room,45,1,12,2016-11-20,1.22,16,266
17420939,Cozy & City Chic Casa,116131062,Tiffany,,Financial District,37.79741340729113,-122.40301547377034,Entire home/apt,150,2,3,2017-03-26,2.73,1,0
864265,1-Bedroom unit in San Francisco,661691,Katy,,Financial District,37.78951798220208,-122.40646510973298,Entire home/apt,202,1,0,,,5,365
12873723,Downtown SF - BART/Shop/Tour,31680444,Andrew,,Financial District,37.78499356270004,-122.39820097094025,Private room,115,2,0,,,2,16
683020,Industrial SoMa Loft with Pvt Bath,3480578,Andrés,,Financial District,37.78938752092673,-122.39358908257155,Private room,115,3,66,2017-03-24,1.19,4,270
12857087,Friendly Hostel with Community #12,329072,Darren & Friends,,Financial District,37.79454133926768,-122.40314922091689,Shared room,45,1,12,2016-10-05,1.08,16,269
16019171,Luxury Living in the Heart of San Francisco,3079657,Karah,,Financial District,37.789564130873856,-122.39288169875046,Entire home/apt,190,3,30,2017-03-30,6.82,1,16
7869049,Charming studio with exposed brick,41471337,Grant,,Financial District,37.79831309748227,-122.40291728281431,Entire home/apt,115,3,15,2017-03-24,0.80,1,351
12857011,Friendly Hostel with Community #11,329072,Darren & Friends,,Financial District,37.793245589225215,-122.40326193951539,Shared room,45,1,10,2017-03-18,0.97,16,269
11529833,Luxury 1BR Apt in Soma,10237613,Emelyn,,Financial District,37.78712798274274,-122.4008810349,Entire home/apt,180,1,0,,,1,0
175102,FIN. DIST: Mario's Studio Penthouse,127367,Annette,,Financial District,37.790763899804475,-122.40402958480205,Entire home/apt,130,30,45,2016-07-03,0.66,25,297
175090,FINANCIAL DIST: Gino's Cozy Getaway,127367,Annette,,Financial District,37.79018403099442,-122.40474841078853,Entire home/apt,110,30,24,2015-07-01,0.35,25,365
11070275,RITZ CARLTON CLUB San Francisco Luxury 2BR,42902994,Carolyn,,Financial District,37.789142315114795,-122.40225391564888,Entire home/apt,1200,1,2,2017-02-17,0.22,3,168
15904098,"316 - Private Room, Clean and New!",93714995,325,,Financial District,37.78858826294371,-122.40527706408345,Private room,59,7,6,2017-03-30,1.51,13,51
8596100,Top luxury condo in SOMA,45237945,Jay,,Financial District,37.789869465927964,-122.39220224220952,Entire home/apt,150,1,32,2017-02-12,1.78,1,262
779973,Trendy centered soma studio,3752142,Ame,,Financial District,37.785030561342296,-122.40100492280108,Entire home/apt,169,16,152,2017-03-18,3.01,1,326
6145167,asdfas,29873647,Zhiqiu,,Financial District,37.79070649853953,-122.39324005740016,Entire home/apt,588,1,0,,,1,0
8907630,Luxury 1b/1b in 2d/2b w/ great views and ameneties,12839290,Jeremy,,Financial District,37.78978464587027,-122.39503130418461,Private room,230,4,0,,,1,35
16370633,Private Studio at Downtown SF with own bathroom,107103934,Liberty,,Financial District,37.7902239709451,-122.4032202867181,Entire home/apt,130,1,15,2017-03-30,5.84,1,238
16443564,High Floor Convenient Beauty. Great Location!,46341839,Alex,,Financial District,37.79170976222872,-122.39187397585447,Entire home/apt,200,4,0,,,1,0
12592391,Chinatown.Columbus. Moscone apart..,68308998,Jim,,Financial District,37.79552632437219,-122.40397878453155,Entire home/apt,149,1,57,2017-03-16,5.07,1,130
12494675,Ritz-Carlton SF Condo 2/2.5 ~1800ft,53872592,Leslie,,Financial District,37.78899706972751,-122.4027779264713,Entire home/apt,1250,1,1,2016-10-20,0.18,2,0
6481703,Private yacht for 4 Sleep over 4,21849926,Yacht Charter Co SF,,Financial District,37.7967146105121,-122.39486987411492,Private room,1250,1,0,,,1,365
15075785,Master Bedroom with Great Views - Perfect Location,95373120,Katie,,Financial District,37.78980039584889,-122.39663364113154,Private room,200,2,9,2017-03-26,1.52,1,341
7955880,fdsajfdsjklf,10284237,Jensen,,Financial District,37.794152773135316,-122.39890004991513,Private room,300,1,0,,,1,0
15953741,New high end business traveler apartment with gym,103581736,Chitra,,Financial District,37.789079569931744,-122.3933904255759,Entire home/apt,300,14,1,2017-04-01,0.22,1,76
12520132,1 bed/ 1 bath near FiDi *Long Term Only*,66643396,Daniel,,Financial District,37.7878445369634,-122.40607744840759,Entire home/apt,175,30,22,2017-03-02,1.94,1,145
16861882,Homely Private Studio Delight in FinancialDistrict,1895867,Jian,,Financial District,37.79616857792878,-122.4031100914747,Entire home/apt,147,2,2,2017-02-19,1.28,1,0
9236807,Large 1-bedroom - SoMa/FiDi/S.Beach,9860686,Calvin,,Financial District,37.785204688133625,-122.39975622892278,Entire home/apt,178,3,1,2015-12-31,0.07,1,0
17582767,Downtown luxury new 2B2B condo by water with view,34481826,Mia,,Financial District,37.79052077655382,-122.39265539060389,Entire home/apt,399,2,0,,,2,159
16606328,Museum Parc: Queen-Bed Living Room next to Moscone,4582815,Mosconia,,Financial District,37.78464674781669,-122.39971093180318,Shared room,130,2,10,2017-03-28,3.90,2,19
17802348,"Amazing view, luxury 1 Bedroom",5186477,Sebastian,,Financial District,37.786448580090784,-122.40107529536786,Entire home/apt,340,2,0,,,1,57
